Port,lat,lon
"Auckland, New Zealand",-36.8508827,174.7644881
"Sydney, NSW Australia",-33.8688197,151.2092955
"Brisbane, Queensland Australia",-27.4704528,153.0260341
"Airlie Beach, Queensland Australia",-20.2677525,148.7155626
"Darwin, NT Australia",-12.4637333,130.8444446
"Naha, Japan",26.2125758,127.6790208
"Lembar, Lombok Indonesia",-8.752981,116.068199
"Pulau Penang Island, Georgetown, Malaysia Penang",5.4141307,100.3287506
"Klang, Kuala Lumpur, Malaysia Selangor",3.1499222,101.6944619
Singapore,1.352083,103.819836
